date,new_diagnoses,new_tests,new_deaths
2020-10-01,433,44600,2
2020-10-02,368,43183,2
2020-10-03,339,33981,3
2020-10-04,313,33955,3
2020-10-05,433,52642,2
2020-10-06,431,53627,0
2020-10-07,452,50486,1
2020-10-08,424,48122,2
2020-10-09,414,39707,1
2020-10-10,286,27469,3
2020-10-11,256,26770,2
2020-10-12,464,40598,3
2020-10-13,435,36288,1
2020-10-14,480,36127,1
2020-10-15,457,35455,0
2020-10-16,477,34773,2
2020-10-17,433,27152,5
2020-10-18,457,30274,3
2020-10-19,704,48309,1
2020-10-20,792,44678,3
2020-10-21,863,47532,4
2020-10-22,879,49654,4
2020-10-23,866,50590,5
2020-10-24,823,45801,3
2020-10-25,926,51926,3
2020-10-26,1016,66136,3
2020-10-27,1256,73492,2
2020-10-28,1218,70456,3
2020-10-29,1019,68119,2
2020-10-30,1092,64102,1
2020-10-31,982,51283,2
2020-11-01,960,51832,1
2020-11-02,1282,70511,4
2020-11-03,1265,73756,3
2020-11-04,1254,71632,5
2020-11-05,1040,71483,3
2020-11-06,971,69486,4
2020-11-07,848,59039,1
2020-11-08,758,58175,4
2020-11-09,1060,81327,4
2020-11-10,1080,80782,2
2020-11-11,1106,76243,1
2020-11-12,1067,74229,1
2020-11-13,1157,72040,1
2020-11-14,1057,56125,5
2020-11-15,1006,55306,3
2020-11-16,1260,79310,4
2020-11-17,1337,82540,3
2020-11-18,1347,79928,5
2020-11-19,1234,75399,3
2020-11-20,1255,72593,4
2020-11-21,1009,57736,5
2020-11-22,1014,60988,6
2020-11-23,1194,77414,3
2020-11-24,1337,83746,6
2020-11-25,1315,80268,8
2020-11-26,1272,80398,4
2020-11-27,1320,72171,8
2020-11-28,1159,56609,6
2020-11-29,1177,58069,11
2020-11-30,1551,80793,7
2020-12-01,1722,82557,10
2020-12-02,1888,84880,6
2020-12-03,1921,88420,11
2020-12-04,2029,81871,7
2020-12-05,1722,63396,10
2020-12-06,1983,69185,9
2020-12-07,2757,98378,6
2020-12-08,3129,110520,7
2020-12-09,3195,109646,10
2020-12-10,3289,109656,7
2020-12-11,3295,102355,7
2020-12-12,3092,85545,8
2020-12-13,3170,86853,11
2020-12-14,3978,122565,11
2020-12-15,4290,134471,16
2020-12-16,4394,136589,14
2020-12-17,3608,133859,15
2020-12-18,3135,130227,11
2020-12-19,2755,115105,20
2020-12-20,2455,120917,19
2020-12-21,3103,168280,19
2020-12-22,2878,163510,21
2020-12-23,3084,120579,19
2020-12-24,1486,38865,22
2020-12-25,1608,39382,21
2020-12-26,2696,62849,26
2020-12-27,2196,67156,29
2020-12-28,3088,112255,25
2020-12-29,2499,117888,32
2020-12-30,2786,111379,28
2020-12-31,1237,34475,33
2021-01-01,1214,32024,21
2021-01-02,2062,73452,33
2021-01-03,1680,65620,28
2021-01-04,2483,107360,27
2021-01-05,1938,105577,21
2021-01-06,1662,97029,36
2021-01-07,1592,86420,29
2021-01-08,1438,76570,26
2021-01-09,1204,53519,23
2021-01-10,999,48754,36
2021-01-11,1361,82707,25
2021-01-12,1261,86188,38
2021-01-13,1123,78859,30
2021-01-14,1015,106735,29
2021-01-15,855,100903,26
2021-01-16,725,77360,31
2021-01-17,675,75270,29
2021-01-18,936,111393,29
2021-01-19,920,125187,39
2021-01-20,780,116676,29
2021-01-21,862,126727,27
2021-01-22,717,113151,24
2021-01-23,594,81783,26
2021-01-24,517,80054,20
2021-01-25,723,126980,25
2021-01-26,689,123901,20
2021-01-27,536,117643,17
2021-01-28,512,138737,19
2021-01-29,405,118174,19
2021-01-30,364,83169,19
2021-01-31,388,77543,16
2021-02-01,504,128095,13
2021-02-02,488,119525,10
2021-02-03,432,115170,17
2021-02-04,443,148438,14
2021-02-05,410,132806,11
2021-02-06,432,91274,7
2021-02-07,389,78960,8
2021-02-08,445,128813,13
2021-02-09,460,118727,16
2021-02-10,447,122959,12
2021-02-11,376,152940,9
2021-02-12,315,131566,7
2021-02-13,335,90105,9
2021-02-14,341,84945,5
2021-02-15,402,130690,7
2021-02-16,523,124599,3
2021-02-17,511,124134,6
2021-02-18,546,153807,9
2021-02-19,458,128791,4
2021-02-20,434,97624,5
2021-02-21,472,96916,5
2021-02-22,590,148821,0
2021-02-23,604,139626,2
2021-02-24,541,135900,7
2021-02-25,545,168629,1
2021-02-26,500,153366,5
2021-02-27,429,120288,4
2021-02-28,477,118142,3
2021-03-01,594,168913,1
2021-03-02,601,161159,4
2021-03-03,553,156539,3
2021-03-04,488,187078,2
2021-03-05,470,155247,0
2021-03-06,452,115482,2
2021-03-07,458,121643,2
2021-03-08,601,170436,0
2021-03-09,637,155492,2
2021-03-10,552,153601,3
2021-03-11,581,186535,3
2021-03-12,485,161223,2
2021-03-13,465,131522,1
2021-03-14,488,134738,2
2021-03-15,642,188319,2
2021-03-16,743,179905,0
2021-03-17,673,167814,2
2021-03-18,654,193845,0
2021-03-19,648,164795,3
2021-03-20,584,130659,0
2021-03-21,564,135468,1
2021-03-22,786,187780,1
2021-03-23,814,180908,1
2021-03-24,784,173664,8
2021-03-25,643,191864,0
2021-03-26,711,175051,2
2021-03-27,675,120350,1
2021-03-28,613,123458,0
2021-03-29,775,187581,1
2021-03-30,681,194725,3
2021-03-31,693,194865,4
2021-04-01,713,139652,1
2021-04-02,550,113860,4
2021-04-03,528,128677,1
2021-04-04,463,166340,1
2021-04-05,558,179373,3
2021-04-06,703,207757,1
2021-04-07,714,174757,1
2021-04-08,140,41185,0